company,sector,country,is_public,funding_efficiency,innovation_score,commercial_traction_score,technology_moat_score,risk_score,market_opportunity_score,founder_team_score,scalability_score,capital_intensity,global_expansion_score,simple_avg_score,weighted_score,topsis_score,ahp_score,rank_weighted,rank_topsis,rank_ahp,cluster_kmeans,cluster_hierarchical,cluster_dbscan,pca1,pca2,consensus_rank_score,final_rank
Mistral AI,Artificial Intelligence,France,False,11.926308985132515,5.130293159609121,66.66666666666666,35.714285714285715,63.87665198237885,95,22.22222222222222,66.66666666666666,26.170468187274913,61.76470588235294,45.513826946658966,44.57615044116159,0.3399022604308142,44.57615044116159,19,12,19,6,4,4,0.05853064482237952,0.9501039459880019,0.4140037312173754,17
Shield AI,Defence Technology,USA,False,8.876050420168067,2.44299674267101,66.66666666666666,41.42857142857143,68.7224669603524,80,44.44444444444444,66.66666666666666,33.01094022514667,32.35294117647059,44.4611744731158,44.59108540887067,0.33748021925766664,44.591085408870676,18,14,18,6,4,4,-0.2889602351546004,0.7701865545355252,0.41338166363939466,18
ICEYE,Space Technology,Finland,False,2.7388733271086205,5.130293159609121,66.66666666666666,41.42857142857143,71.80616740088107,65,44.44444444444444,66.66666666666666,63.02521008403361,32.35294117647059,45.925983435445225,43.39324702564424,0.3398970468300832,43.39324702564425,21,13,21,6,4,4,-0.8530719316423404,1.3356941533345172,0.4057218432285347,19
Iridium Communications,Space Technology,USA,True,25.472761850661136,0.9879598069555358,0.8766543144520911,88.13342108699865,71.43520842632188,65,97.85681851805658,87.42862002619903,67.76804254030088,17.857142857142858,52.28166294270886,45.441568953570936,0.2656867323512899,45.44156895357094,17,22,17,2,0,3,0.5309651056438821,-0.5664418215467436,0.3977970023803835,20
Fanuc Corp,Robotics,Japan,True,53.84400705687122,0.725571346069884,0.9687665431445209,54.895037445315474,78.27981303170363,75,97.89483990392164,53.969276943495444,20.053698031933507,39.28571428571428,47.49167245881696,43.521568840752686,0.2578540450496491,43.52156884075269,20,23,20,2,0,1,0.7704937631299514,-1.2650158246514882,0.3820071954001636,21
iRobot,Robotics,USA,True,45.11502890541381,0.9002378008570184,1.1032497699649084,58.380380442634596,63.92426912638501,75,97.80651534281172,57.64944868615937,32.31669008930405,46.42857142857142,47.8624391592102,42.18050002893982,0.24315989433648125,42.180500028939825,22,24,22,2,0,1,0.5788320600066437,-1.0250083570078696,0.3682114685035231,22
AST SpaceMobile,Space Technology,USA,True,33.45011080379061,21.5216502825106,21.525674960296453,61.13033875747473,28.003387847236628,65,45.488109622629416,60.5374857396893,35.659108900284856,64.28571428571428,43.66015811996269,39.760879423191746,0.28362032817888744,39.76087942319175,24,21,24,2,0,1,-0.18810124663069247,0.6345375329235404,0.3634122544160085,23
Planet Labs,Space Technology,USA,True,30.61140133511564,1.246387888712279,1.3022763366860772,71.98931752533836,46.12458021339243,65,95.14988131587145,71.35144589051656,20.13528034325864,50.0,45.29105708488915,39.89394530346384,0.23462089180147808,39.893945303463845,23,25,23,2,0,1,0.615820396612779,-0.8035559074396336,0.3496438846646903,24
L3Harris Technologies,Defence Technology,USA,True,24.80395986084719,2.556568838541427,2.868184224457385,47.35752139237184,79.88403968062289,80,97.1789987109101,46.05083385096619,30.6584834242352,7.142857142857142,41.850144712580935,39.4136530601376,0.21899044914670504,39.4136530601376,25,28,25,1,6,1,-0.243334848093325,-1.1656198802064306,0.3415927061649747,25
Northrop Grumman,Defence Technology,USA,True,20.29832106887928,0.4696731993351687,0.903123345685548,39.071360040766415,98.13145276790287,80,97.27806623387313,36.10150414526374,50.48411219642935,0.0,42.27376129981355,38.51466191623439,0.2168684120722037,38.514661916234395,26,29,26,1,6,1,-0.6842744524515494,-1.1172994784612442,0.33466315703530186,26
